mmsi,General Classification,tonnage
316001023,FISHING VESSEL,115
316001027,FISHING VESSEL,83
316001028,FISHING VESSEL,40
316001125,FISHING VESSEL,183
316001164,FISHING VESSEL,38
316001170,FISHING VESSEL,60
316001250,FISHING VESSEL,109
316001360,OFFICIAL SERVICE SHIP,15
316001412,FISHING VESSEL,188
316001449,FISHING VESSEL,310
316001453,FISHING VESSEL,368
316001454,FISHING VESSEL,312
316001464,FISHING VESSEL,38
316001494,FISHING VESSEL,78
316001514,FISHING VESSEL,139
316001577,FISHING VESSEL,286
316001590,FISHING VESSEL,183
316001610,FISHING VESSEL,76
316001649,FISHING VESSEL,93
316001722,FISHING VESSEL,128
316001726,FISHING VESSEL,145
316001738,FISHING VESSEL,3320
316001759,RESCUE VESSEL,99
316001765,FISHING VESSEL,8
316001821,FISHING VESSEL,450
316001828,FISHING VESSEL,498
316001832,FISHING VESSEL,148
316001833,FISHING VESSEL,79
316001843,FISHING VESSEL,139
316001850,FISHING VESSEL,282
316001851,FISHING VESSEL,46
316001854,FISHING VESSEL,46
316001860,FISHING VESSEL,60
316001891,FISHING VESSEL,110
316001916,FISHING VESSEL,127
316001949,FISHING VESSEL,139
316001955,FISHING VESSEL,126
316001957,FISHING VESSEL,38
316001963,FISHING VESSEL,139
316001969,FISHING VESSEL,122
316001971,FISHING VESSEL,78
316001973,FISHING VESSEL,33
316001977,FISHING VESSEL,136
316001980,FISHING VESSEL,115
316001989,FISHING VESSEL,95
316001990,FISHING VESSEL,69
316001997,FISHING VESSEL,98
316002010,FISHING VESSEL,100
316002012,FISHING VESSEL,89
316002021,FISHING VESSEL,78
316002023,FISHING VESSEL,53
316002032,FISHING VESSEL,98
316002051,FISHING VESSEL,46
316002052,FISHING VESSEL,18
316002087,FISHING VESSEL,40
316002090,FISHING VESSEL,59
316002097,FISHING VESSEL,88
316002109,FISHING VESSEL,51
316002155,PLEASURECRAFT,5
316002160,FISHING VESSEL,99
316002174,FISHING VESSEL,136
316002176,FISHING VESSEL,45
316002231,FISHING VESSEL,80
316002232,FISHING VESSEL,22
316002303,FISHING VESSEL,116
316002306,FISHING VESSEL,30
316002310,FISHING VESSEL,30
316002311,FISHING VESSEL,31
316002318,FISHING VESSEL,29
316002327,FISHING VESSEL,42
316002333,FISHING VESSEL,39
316002350,FISHING VESSEL,128
316002372,FISHING VESSEL,46
316002374,FISHING VESSEL,46
316002375,FISHING VESSEL,30
316002386,FISHING VESSEL,66
316002398,FISHING VESSEL,81
316002406,FISHING VESSEL,116
316002410,FISHING VESSEL,14
316002445,FISHING VESSEL,97
316002453,FISHING VESSEL,12
316002487,FISHING VESSEL,98
316002500,MERCHANT SHIP,446
316002507,FISHING VESSEL,27
316002514,PLEASURECRAFT,4
316002517,FISHING VESSEL,101
316002518,FISHING VESSEL,180
316002519,FISHING VESSEL,234
316002538,FISHING VESSEL,14
316002559,FISHING VESSEL,43
316002570,FISHING VESSEL,99
316002590,FISHING VESSEL,298
316002595,FISHING VESSEL,55
316002610,FISHING VESSEL,53
316002679,FISHING VESSEL,50
316002703,FISHING VESSEL,116
316002714,FISHING VESSEL,97
316002716,FISHING VESSEL,5
316002718,FISHING VESSEL,45
316002722,FISHING VESSEL,55
316002726,FISHING VESSEL,149
316002732,FISHING VESSEL,45
316002740,FISHING VESSEL,35
316002764,FISHING VESSEL,99
316002799,FISHING VESSEL,284
316002835,FISHING VESSEL,23
316002836,FISHING VESSEL,20
316002886,FISHING VESSEL,65
316002891,FISHING VESSEL,43
316002894,FISHING VESSEL,50
316002895,FISHING VESSEL,85
316002899,FISHING VESSEL,36
316002910,FISHING VESSEL,2808
316002911,FISHING VESSEL,190
316002912,FISHING VESSEL,74
316002915,FISHING VESSEL,84
316002916,FISHING VESSEL,125
316002917,FISHING VESSEL,127
316002918,FISHING VESSEL,62
316002919,FISHING VESSEL,97
316002950,FISHING VESSEL,375
316002956,PLEASURECRAFT,31
316002974,FISHING VESSEL,79
316002978,FISHING VESSEL,75
316003029,FISHING VESSEL,19
316003050,FISHING VESSEL,50
316003060,FISHING VESSEL,320
316003098,FISHING VESSEL,42
316003135,FISHING VESSEL,57
316003152,FISHING VESSEL,58
316003163,FISHING VESSEL,87
316003176,FISHING VESSEL,148
316003182,FISHING VESSEL,116
316003209,FISHING VESSEL,123
316003227,FISHING VESSEL,55
316003237,FISHING VESSEL,45
316003246,FISHING VESSEL,99
316003267,FISHING VESSEL,136
316003286,FISHING VESSEL,123
316003292,FISHING VESSEL,149
316003305,FISHING VESSEL,163
316003307,FISHING VESSEL,152
316003314,FISHING VESSEL,40
316003324,FISHING VESSEL,14
316003331,FISHING VESSEL,148
316003348,FISHING VESSEL,104
316003351,FISHING VESSEL,85
316003362,FISHING VESSEL,30
316003365,FISHING VESSEL,237
316003371,FISHING VESSEL,19
316003433,FISHING VESSEL,31
316003446,FISHING VESSEL,115
316003447,FISHING VESSEL,115
316003448,FISHING VESSEL,148
316003455,FISHING VESSEL,14
316003459,FISHING VESSEL,148
316003476,FISHING VESSEL,36
316003481,FISHING VESSEL,27
316003514,FISHING VESSEL,147
316003527,FISHING VESSEL,138
316003534,FISHING VESSEL,39
316003537,FISHING VESSEL,37
316003542,FISHING VESSEL,122
316003577,FISHING VESSEL,43
316003578,FISHING VESSEL,80
316003580,FISHING VESSEL,1160
316003581,FISHING VESSEL,59
316003587,FISHING VESSEL,263
316003588,FISHING VESSEL,77
316003610,FISHING VESSEL,346
316003660,FISHING VESSEL,60
316003695,FISHING VESSEL,149
316003698,FISHING VESSEL,30
316003701,FISHING VESSEL,28
316003703,FISHING VESSEL,186
316003708,FISHING VESSEL,147
316003722,FISHING VESSEL,112
316003738,FISHING VESSEL,30
316003739,FISHING VESSEL,40
316003742,FISHING VESSEL,35
316003768,FISHING VESSEL,117
316003779,FISHING VESSEL,178
316003786,FISHING VESSEL,33
316003850,MERCHANT SHIP,889
316003859,FISHING VESSEL,35
316003877,FISHING VESSEL,20
316003957,FISHING VESSEL,18
316004000,FISHING VESSEL,1129
316004026,FISHING VESSEL,191
316004040,FISHING VESSEL,346
316004070,FISHING VESSEL,346
316004082,FISHING VESSEL,130
316004111,FISHING VESSEL,220
316004164,FISHING VESSEL,131
316004170,FISHING VESSEL,1113
316004180,FISHING VESSEL,485
316004191,FISHING VESSEL,76
316004202,FISHING VESSEL,287
316004218,FISHING VESSEL,21
316004229,FISHING VESSEL,37
316004237,FISHING VESSEL,15
316004268,FISHING VESSEL,60
316004288,FISHING VESSEL,47
316004293,FISHING VESSEL,40
316004333,FISHING VESSEL,145
316004364,FISHING VESSEL,66
316004390,FISHING VESSEL,13
316004392,FISHING VESSEL,63
316004401,FISHING VESSEL,150
316004410,FISHING VESSEL,35
316004443,FISHING VESSEL,278
316004463,FISHING VESSEL,90
316004498,FISHING VESSEL,31
316004501,FISHING VESSEL,43
316004539,FISHING VESSEL,41
316004559,FISHING VESSEL,96
316004561,FISHING VESSEL,44
316004576,FISHING VESSEL,40
316004663,FISHING VESSEL,36
316004685,FISHING VESSEL,187
316004702,FISHING VESSEL,99
316004718,FISHING VESSEL,35
316004727,FISHING VESSEL,90
316004757,FISHING VESSEL,52
316004771,FISHING VESSEL,15
316004776,FISHING VESSEL,35
316004790,FISHING VESSEL,149
316004805,FISHING VESSEL,25
316004831,FISHING VESSEL,29
316004867,FISHING VESSEL,115
316004870,FISHING VESSEL,123
316004879,FISHING VESSEL,22
316004908,FISHING VESSEL,74
316004915,FISHING VESSEL,38
316004981,FISHING VESSEL,113
316004982,FISHING VESSEL,31
316004985,FISHING VESSEL,39
316005063,FISHING VESSEL,30
316005077,FISHING VESSEL,99
316005078,FISHING VESSEL,49
316005090,FISHING VESSEL,110
316005100,FISHING VESSEL,95
316005105,FISHING VESSEL,22
316005116,FISHING VESSEL,48
316005119,FISHING VESSEL,15
316005123,FISHING VESSEL,7
316005178,PLEASURECRAFT,15
316005190,FISHING VESSEL,21
316005246,FISHING VESSEL,35
316005259,FISHING VESSEL,259
316005262,FISHING VESSEL,53
316005265,FISHING VESSEL,49
316005273,FISHING VESSEL,40
316005279,FISHING VESSEL,49
316005289,FISHING VESSEL,87
316005292,FISHING VESSEL,30
316005311,FISHING VESSEL,40
316005327,FISHING VESSEL,48
316005329,FISHING VESSEL,37
316005333,FISHING VESSEL,48
316005334,FISHING VESSEL,22
316005342,FISHING VESSEL,15
316005381,FISHING VESSEL,20
316005396,FISHING VESSEL,91
316005403,FISHING VESSEL,40
316005404,FISHING VESSEL,38
316005413,FISHING VESSEL,37
316005440,FISHING VESSEL,64
316005444,FISHING VESSEL,91
316005448,FISHING VESSEL,246
316005460,FISHING VESSEL,94
316005462,FISHING VESSEL,27
316005485,FISHING VESSEL,30
316005531,FISHING VESSEL,36
316005563,FISHING VESSEL,28
316005581,FISHING VESSEL,45
316005601,FISHING VESSEL,99
316005640,FISHING VESSEL,108
316005667,FISHING VESSEL,264
316005668,FISHING VESSEL,186
316005669,FISHING VESSEL,147
316005670,FISHING VESSEL,56
316005672,FISHING VESSEL,123
316005686,FISHING VESSEL,72
316005695,FISHING VESSEL,37
316005771,FISHING VESSEL,119
316005772,FISHING VESSEL,99
316005774,FISHING VESSEL,38
316005780,FISHING VESSEL,63
316005782,FISHING VESSEL,28
316005787,FISHING VESSEL,80
316005812,FISHING VESSEL,48
316005813,FISHING VESSEL,99
316005846,FISHING VESSEL,99
316005906,FISHING VESSEL,96
316005908,FISHING VESSEL,140
316005927,FISHING VESSEL,45
316005929,FISHING VESSEL,50
316005953,FISHING VESSEL,15
316005987,PLEASURECRAFT,5
316005996,FISHING VESSEL,99
316005998,FISHING VESSEL,2003
316006009,FISHING VESSEL,99
316006059,FISHING VESSEL,43
316006063,FISHING VESSEL,29
316006095,FISHING VESSEL,211
316006110,FISHING VESSEL,102
316006150,FISHING VESSEL,64
316006163,FISHING VESSEL,86
316006180,FISHING VESSEL,143
316006190,FISHING VESSEL,58
316006199,FISHING VESSEL,70
316006222,FISHING VESSEL,50
316006264,PLEASURECRAFT,7
316006289,FISHING VESSEL,6
316006292,FISHING VESSEL,138
316006294,FISHING VESSEL,14
316006370,FISHING VESSEL,35
316006386,FISHING VESSEL,91
316006413,FISHING VESSEL,86
316006426,FISHING VESSEL,29
316006440,FISHING VESSEL,131
316006480,FISHING VESSEL,52
316006490,FISHING VESSEL,56
316006516,FISHING VESSEL,51
316006544,FISHING VESSEL,48
316006608,FISHING VESSEL,50
316006609,FISHING VESSEL,30
316006621,FISHING VESSEL,61
316006663,FISHING VESSEL,89
316006710,FISHING VESSEL,43
316006724,FISHING VESSEL,91
316006725,FISHING VESSEL,149
316006740,FISHING VESSEL,116
316006780,FISHING VESSEL,102
316006786,FISHING VESSEL,81
316006826,FISHING VESSEL,43
316006847,FISHING VESSEL,40
316006888,FISHING VESSEL,15
316006906,FISHING VESSEL,26
316006938,FISHING VESSEL,26
316006940,FISHING VESSEL,54
316006970,FISHING VESSEL,60
316006988,FISHING VESSEL,126
316007023,FISHING VESSEL,53
316007033,FISHING VESSEL,44
316007088,FISHING VESSEL,42
316007110,FISHING VESSEL,60
316007140,FISHING VESSEL,47
316007154,FISHING VESSEL,71
316007157,FISHING VESSEL,86
316007160,FISHING VESSEL,74
316007163,FISHING VESSEL,37
316007244,FISHING VESSEL,99
316007245,PLEASURECRAFT,11
316007303,FISHING VESSEL,45
316007329,FISHING VESSEL,26
316007334,FISHING VESSEL,100
316007340,FISHING VESSEL,161
316007350,FISHING VESSEL,78
316007352,FISHING VESSEL,34
316007356,FISHING VESSEL,85
316007386,FISHING VESSEL,40
316007427,FISHING VESSEL,43
316007431,FISHING VESSEL,98
316007460,FISHING VESSEL,48
316007480,FISHING VESSEL,96
316007489,FISHING VESSEL,37
316007509,FISHING VESSEL,36
316007519,FISHING VESSEL,43
316007539,FISHING VESSEL,112
316007541,FISHING VESSEL,88
316007542,FISHING VESSEL,123
316007555,FISHING VESSEL,23
316007556,FISHING VESSEL,82
316007587,FISHING VESSEL,117
316007594,FISHING VESSEL,30
316007614,FISHING VESSEL,42
316007656,FISHING VESSEL,62
316007659,FISHING VESSEL,33
316007780,FISHING VESSEL,95
316007782,FISHING VESSEL,42
316007789,FISHING VESSEL,58
316007791,FISHING VESSEL,120
316007814,FISHING VESSEL,33
316007850,FISHING VESSEL,70
316007860,FISHING VESSEL,33
316007940,FISHING VESSEL,58
316007950,FISHING VESSEL,144
316007957,FISHING VESSEL,10
316008060,FISHING VESSEL,60
316008088,FISHING VESSEL,125
316008110,FISHING VESSEL,148
316008140,FISHING VESSEL,91
316008160,FISHING VESSEL,43
316008240,FISHING VESSEL,83
316008310,FISHING VESSEL,94
316008413,FISHING VESSEL,15
316008440,FISHING VESSEL,42
316008470,FISHING VESSEL,50
316008518,FISHING VESSEL,15
316008540,FISHING VESSEL,64
316008560,FISHING VESSEL,43
316008640,FISHING VESSEL,121
316008768,FISHING VESSEL,39
316008770,FISHING VESSEL,499
316008772,FISHING VESSEL,14
316008780,FISHING VESSEL,27
316008910,FISHING VESSEL,146
316008961,FISHING VESSEL,18
316008968,FISHING VESSEL,96
316009140,FISHING VESSEL,146
316009150,FISHING VESSEL,121
316009160,FISHING VESSEL,96
316009174,FISHING VESSEL,15
316009228,FISHING VESSEL,27
316009260,FISHING VESSEL,44
316009319,FISHING VESSEL,28
316009345,FISHING VESSEL,19
316009372,FISHING VESSEL,39
316009378,FISHING VESSEL,10
316009383,FISHING VESSEL,14
316009443,FISHING VESSEL,37
316009462,FISHING VESSEL,15
316009465,FISHING VESSEL,40
316009483,FISHING VESSEL,25
316009497,FISHING VESSEL,52
316009517,FISHING VESSEL,55
316009519,FISHING VESSEL,24
316009544,FISHING VESSEL,45
316009545,FISHING VESSEL,40
316009550,FISHING VESSEL,82
316009570,FISHING VESSEL,31
316009572,FISHING VESSEL,38
316009583,FISHING VESSEL,30
316009705,FISHING VESSEL,72
316009715,FISHING VESSEL,59
316009748,FISHING VESSEL,45
316009852,FISHING VESSEL,95
316009876,FISHING VESSEL,15
316009908,FISHING VESSEL,87
316009916,PLEASURECRAFT,8
316009956,FISHING VESSEL,44
316010000,FISHING VESSEL,2291
316010040,FISHING VESSEL,57
316010050,FISHING VESSEL,146
316010090,FISHING VESSEL,41
316010139,FISHING VESSEL,13
316010140,FISHING VESSEL,93
316010190,FISHING VESSEL,46
316010260,FISHING VESSEL,71
316010284,FISHING VESSEL,94
316010310,FISHING VESSEL,141
316010360,FISHING VESSEL,146
316010390,FISHING VESSEL,25
316010401,FISHING VESSEL,45
316010440,FISHING VESSEL,101
316010511,FISHING VESSEL,45
316010540,FISHING VESSEL,41
316010543,FISHING VESSEL,22
316010570,FISHING VESSEL,122
316010656,PLEASURECRAFT,49
316010660,FISHING VESSEL,86
316010740,FISHING VESSEL,24
316010795,FISHING VESSEL,45
316010834,FISHING VESSEL,142
316010838,FISHING VESSEL,47
316010840,FISHING VESSEL,142
316010880,FISHING VESSEL,94
316011040,FISHING VESSEL,149
316011042,FISHING VESSEL,68
316011110,FISHING VESSEL,137
316011310,FISHING VESSEL,122
316011384,FISHING VESSEL,85
316011403,FISHING VESSEL,45
316011433,FISHING VESSEL,126
316011441,FISHING VESSEL,135
316011455,PLEASURECRAFT,55
316011460,FISHING VESSEL,148
316011524,FISHING VESSEL,106
316011549,FISHING VESSEL,55
316011558,FISHING VESSEL,36
316011559,FISHING VESSEL,52
316011560,FISHING VESSEL,71
316011572,PLEASURECRAFT,45
316011580,FISHING VESSEL,24
316011640,FISHING VESSEL,28
316011688,FISHING VESSEL,46
316011711,FISHING VESSEL,41
316011757,FISHING VESSEL,25
316011760,FISHING VESSEL,2045
316011786,FISHING VESSEL,33
316011850,FISHING VESSEL,99
316011860,FISHING VESSEL,47
316011884,FISHING VESSEL,49
316011890,FISHING VESSEL,22
316011910,FISHING VESSEL,2334
316012029,PLEASURECRAFT,6
316012074,FISHING VESSEL,14
316012140,FISHING VESSEL,43
316012150,FISHING VESSEL,86
316012210,FISHING VESSEL,145
316012240,FISHING VESSEL,387
316012248,FISHING VESSEL,55
316012260,FISHING VESSEL,520
316012480,FISHING VESSEL,837
316012540,FISHING VESSEL,183
316012560,FISHING VESSEL,63
316012570,FISHING VESSEL,46
316012770,FISHING VESSEL,26
316012780,FISHING VESSEL,78
316012810,FISHING VESSEL,55
316012840,FISHING VESSEL,56
316012857,FISHING VESSEL,97
316012860,FISHING VESSEL,148
316012880,FISHING VESSEL,190
316012890,FISHING VESSEL,55
316012939,FISHING VESSEL,24
316012940,FISHING VESSEL,40
316012953,FISHING VESSEL,90
316012970,FISHING VESSEL,142
316013073,FISHING VESSEL,15
316013090,FISHING VESSEL,140
316013198,FISHING VESSEL,87
316013270,FISHING VESSEL,25
316013350,FISHING VESSEL,72
316013450,FISHING VESSEL,92
316013460,FISHING VESSEL,98
316013560,FISHING VESSEL,73
316013570,FISHING VESSEL,45
316013590,FISHING VESSEL,599
316013610,FISHING VESSEL,78
316013660,FISHING VESSEL,630
316013712,FISHING VESSEL,40
316013780,FISHING VESSEL,55
316013810,FISHING VESSEL,97
316013848,FISHING VESSEL,25
316013872,FISHING VESSEL,43
316013881,FISHING VESSEL,185
316013884,FISHING VESSEL,50
316014090,FISHING VESSEL,4300
316014214,FISHING VESSEL,113
316014240,FISHING VESSEL,2598
316014319,FISHING VESSEL,15
316014605,FISHING VESSEL,53
316014803,FISHING VESSEL,515
316015321,FISHING VESSEL,15
316015479,FISHING VESSEL,14
316015544,FISHING VESSEL,32
316015632,FISHING VESSEL,99
316015644,FISHING VESSEL,59
316015883,PLEASURECRAFT,5
316015903,FISHING VESSEL,15
316015928,FISHING VESSEL,33
316015949,FISHING VESSEL,15
316015994,FISHING VESSEL,30
316016064,FISHING VESSEL,42
316016087,FISHING VESSEL,20
316016151,FISHING VESSEL,15
316016225,FISHING VESSEL,58
316016281,FISHING VESSEL,15
316016302,FISHING VESSEL,30
316016387,FISHING VESSEL,37
316016964,FISHING VESSEL,78
316016971,FISHING VESSEL,40
316017005,PLEASURECRAFT,19
316017106,FISHING VESSEL,61
316017202,FISHING VESSEL,43
316017323,FISHING VESSEL,11
316017443,FISHING VESSEL,54
316017648,FISHING VESSEL,94
316017767,FISHING VESSEL,42
316017838,FISHING VESSEL,84
316018055,UNSPECIFIED,112
316018234,FISHING VESSEL,15
316018327,FISHING VESSEL,71
316018336,OFFICIAL SERVICE SHIP,111
316018394,FISHING VESSEL,45
316018416,FISHING VESSEL,52
316018552,FISHING VESSEL,32
316018573,FISHING VESSEL,57
316018582,FISHING VESSEL,42
316018676,FISHING VESSEL,48
316018679,FISHING VESSEL,45
316018746,FISHING VESSEL,15
316018756,PLEASURECRAFT,56
316018766,FISHING VESSEL,45
316018816,FISHING VESSEL,126
316018828,FISHING VESSEL,84
316018974,FISHING VESSEL,57
316019177,FISHING VESSEL,35
316019185,FISHING VESSEL,86
316019219,FISHING VESSEL,41
316019246,PLEASURECRAFT,5
316019354,UNSPECIFIED,121
316019367,FISHING VESSEL,100
316019404,FISHING VESSEL,14
316019447,FISHING VESSEL,124
316019482,FISHING VESSEL,62
316019485,FISHING VESSEL,46
316019959,FISHING VESSEL,5
316020092,FISHING VESSEL,35
316020454,FISHING VESSEL,44
316020458,FISHING VESSEL,46
316020583,FISHING VESSEL,68
316020762,FISHING VESSEL,150
316020814,FISHING VESSEL,100
316020917,FISHING VESSEL,26
316020934,FISHING VESSEL,42
316020966,FISHING VESSEL,77
316021004,FISHING VESSEL,1932
316021024,FISHING VESSEL,42
316021078,FISHING VESSEL,95
316021116,FISHING VESSEL,43
316021117,FISHING VESSEL,47
316021118,FISHING VESSEL,42
316021149,FISHING VESSEL,15
316021158,FISHING VESSEL,46
316021176,FISHING VESSEL,53
316021301,FISHING VESSEL,14
316021342,FISHING VESSEL,52
316021392,FISHING VESSEL,15
316021395,FISHING VESSEL,12
316021475,FISHING VESSEL,39
316021505,FISHING VESSEL,12
316021627,FISHING VESSEL,66
316021629,FISHING VESSEL,86
316021722,FISHING VESSEL,10
316021743,FISHING VESSEL,38
316021795,FISHING VESSEL,50
316022078,FISHING VESSEL,14
316022149,FISHING VESSEL,624
316022197,FISHING VESSEL,15
316022245,FISHING VESSEL,56
316022296,FISHING VESSEL,85
316022454,FISHING VESSEL,34
316022628,FISHING VESSEL,5
316022682,FISHING VESSEL,46
316022731,FISHING VESSEL,138
316022916,FISHING VESSEL,15
316023119,FISHING VESSEL,68
316023154,FISHING VESSEL,47
316023364,FISHING VESSEL,66
316023416,FISHING VESSEL,53
316023452,FISHING VESSEL,93
316023522,FISHING VESSEL,60
316023557,FISHING VESSEL,45
316023595,FISHING VESSEL,31
316023598,FISHING VESSEL,43
316023626,FISHING VESSEL,55
316023627,FISHING VESSEL,45
316023628,FISHING VESSEL,46
316023664,FISHING VESSEL,46
316023672,FISHING VESSEL,41
316023683,FISHING VESSEL,59
316023819,FISHING VESSEL,95
316023833,FISHING VESSEL,931
316023873,FISHING VESSEL,35
316023983,FISHING VESSEL,94
316024058,FISHING VESSEL,5
316024251,FISHING VESSEL,41
316024371,FISHING VESSEL,15
316024548,FISHING VESSEL,10
316024565,FISHING VESSEL,96
316024569,FISHING VESSEL,99
316024661,FISHING VESSEL,12
316024697,FISHING VESSEL,15
316024796,FISHING VESSEL,41
316024842,FISHING VESSEL,12
316024853,FISHING VESSEL,57
316024899,FISHING VESSEL,94
316025019,FISHING VESSEL,98
316025275,FISHING VESSEL,14
316025389,FISHING VESSEL,145
316025491,FISHING VESSEL,78
316025653,FISHING VESSEL,55
316025775,FISHING VESSEL,111
316025894,FISHING VESSEL,54
316025943,FISHING VESSEL,57
316026078,FISHING VESSEL,34
316026091,FISHING VESSEL,57
316026159,FISHING VESSEL,73
316026229,FISHING VESSEL,14
316026348,FISHING VESSEL,11
316026397,FISHING VESSEL,29
316026514,FISHING VESSEL,14
316026574,FISHING VESSEL,15
316026578,FISHING VESSEL,15
316026746,FISHING VESSEL,42
316026786,PLEASURECRAFT,5
316026796,PLEASURECRAFT,5
316026797,PLEASURECRAFT,5
316026947,FISHING VESSEL,24
316026978,FISHING VESSEL,70
316027036,FISHING VESSEL,362
316027075,FISHING VESSEL,45
316027146,FISHING VESSEL,79
316027398,FISHING VESSEL,57
316027399,FISHING VESSEL,90
316028054,FISHING VESSEL,13
316028065,FISHING VESSEL,15
316028083,FISHING VESSEL,13
316028216,FISHING VESSEL,15
316028264,FISHING VESSEL,47
316028298,FISHING VESSEL,631
316028312,FISHING VESSEL,52
316028342,FISHING VESSEL,24
316028346,FISHING VESSEL,77
316028366,FISHING VESSEL,384
316028387,FISHING VESSEL,46
316028394,FISHING VESSEL,15
316028433,FISHING VESSEL,49
316028462,FISHING VESSEL,41
316028469,FISHING VESSEL,59
316028474,FISHING VESSEL,15
316028476,FISHING VESSEL,40
316028496,FISHING VESSEL,52
316028512,FISHING VESSEL,109
316028513,FISHING VESSEL,51
316028514,FISHING VESSEL,50
316028538,FISHING VESSEL,53
316028561,FISHING VESSEL,15
316028576,FISHING VESSEL,15
316028671,FISHING VESSEL,98
316028712,FISHING VESSEL,15
316028949,FISHING VESSEL,15
316028973,FISHING VESSEL,15
316029099,FISHING VESSEL,15
316029236,PLEASURECRAFT,27
316029311,FISHING VESSEL,15
316029335,PLEASURECRAFT,11
316029351,FISHING VESSEL,15
316029374,FISHING VESSEL,46
316029736,FISHING VESSEL,55
316029737,FISHING VESSEL,82
316029838,FISHING VESSEL,59
316029981,FISHING VESSEL,29
316029985,FISHING VESSEL,40
316030113,FISHING VESSEL,60
316030281,PLEASURECRAFT,5
316030323,PLEASURECRAFT,5
316030326,PLEASURECRAFT,5
316030338,FISHING VESSEL,58
316030469,FISHING VESSEL,62
316030659,FISHING VESSEL,64
316030692,PLEASURECRAFT,14
316030779,FISHING VESSEL,83
316030804,FISHING VESSEL,12
316030857,FISHING VESSEL,14
316030874,FISHING VESSEL,15
316030899,FISHING VESSEL,15
316030938,FISHING VESSEL,15
316030943,FISHING VESSEL,15
316030947,FISHING VESSEL,15
316030972,FISHING VESSEL,56
316030976,FISHING VESSEL,97
316031007,FISHING VESSEL,60
316031009,FISHING VESSEL,57
316031013,FISHING VESSEL,68
316031014,FISHING VESSEL,45
316031015,FISHING VESSEL,90
316031026,FISHING VESSEL,60
316031058,FISHING VESSEL,15
316031261,FISHING VESSEL,6
316031428,FISHING VESSEL,46
316031572,FISHING VESSEL,67
316031686,FISHING VESSEL,56
316031783,FISHING VESSEL,239
316031843,FISHING VESSEL,60
316031981,FISHING VESSEL,75
316032474,FISHING VESSEL,72
316032477,FISHING VESSEL,68
316032936,PLEASURECRAFT,14
316033159,FISHING VESSEL,149
316035000,FISHING VESSEL,183
316065000,FISHING VESSEL,2337
316067000,FISHING VESSEL,1787
316100000,FISHING VESSEL,3751
316183000,FISHING VESSEL,103
316237000,FISHING VESSEL,279
316303000,FISHING VESSEL,2524
316323000,FISHING VESSEL,3380
