mmsi,engine_power_kw,length_m,ITC Gross Tons
303072000,1492.0,38.674,636.0
303159000,1119.0,36.295,
303244000,2163.4,74.3895,1920.0
303301000,1119.0,41.846,860.0
303303000,1119.0,34.0685,607.0
303308000,,34.5565,319.0
303324000,425.22,22.509,
303328000,540.85,26.5045,228.0
303345000,2685.6,55.5405,
303346000,634.1,29.951,
303397000,1044.4,37.0575,407.0
303429000,1492.0,34.0685,463.0
303462000,716.16,25.4675,266.0
303539000,895.2,31.0185,
303543000,522.2,29.7375,
303544000,1193.6,34.0685,442.0
303546000,596.8,31.3845,209.0
303599000,1656.12,50.63,
303628000,,45.9025,1032.0
303648000,820.6,34.0075,
303670000,671.4,40.4125,
303672000,969.8,35.5325,414.0
303674000,596.8,30.3475,
303684000,895.2,27.023,221.0
338013000,2461.8,77.8665,2437.0
338074000,,63.806,1416.0
338083807,,37.82,392.0
338126461,,11.6205,
338137000,2238.0,48.1595,
338140000,1342.8,35.1665,
338149444,167.85,12.6575,
338160458,298.4,13.115,
338162000,4252.2,107.6345,5007.0
338164774,,21.045,
338185000,865.36,37.9725,551.0
338188183,,13.42,
338190057,261.1,13.237,
338250000,2238.0,58.621,1578.0
338287000,,17.69,
338298000,2349.9,63.806,1416.0
338351000,,19.642,
338362000,690.05,15.677,
338381000,522.2,20.5265,
338382000,746.0,20.496,
338386000,,12.2305,
338394000,,63.1655,1517.0
338396000,,17.69,
338494100,272.29,22.631,196.0
338539000,,73.505,2077.0
338540000,4252.2,69.54,
338568000,4326.8,62.7385,1610.0
338603000,895.2,26.535,217.0
338662000,895.2,27.999,
338673000,,34.404,289.0
338688800,895.2,21.5025,176.0
338693000,,60.8475,1739.0
338757000,268.56,16.5615,
338793000,2387.2,63.1655,1517.0
366020000,2387.2,63.1655,1517.0
366046000,,94.062,5259.0
366047000,,76.7685,5015.0
366062000,6434.996,94.5805,5190.0
366082000,775.84,36.661,398.0
366083819,839.25,32.3605,
366103960,421.49,23.546,
366122000,149.2,17.69,
366174810,,17.69,
366177430,1119.0,28.2735,
366183000,634.1,27.999,
366207630,432.68,21.838,112.0
366207650,410.3,22.875,
366208000,,45.872,652.0
366218620,746.0,22.448,
366222330,1305.5,41.2055,416.0
366222630,1119.0,27.6025,
366230550,1007.1,34.6175,328.0
366233570,,21.1365,
366236350,,17.69,
366245060,,17.6595,
366245070,,22.936,
366264360,958.61,29.8595,
366297000,1163.76,34.6175,412.0
366298000,1163.76,34.6175,416.0
366299000,1641.2,99.2165,5716.0
366308790,298.4,23.119,
366338750,634.1,33.672,275.0
366344650,279.75,15.0975,
366355000,391.65,20.862,
366396380,149.2,12.2,
366398180,484.9,22.9055,
366408250,857.9,23.424,201.0
366425240,,24.339,190.0
366431000,2238.0,51.423,1008.0
366433000,1492.0,37.6065,741.0
366435740,484.9,21.5635,
366444090,895.2,23.607,151.0
366468000,,39.284,449.0
366480000,931.008,50.7215,867.0
366485000,1029.48,34.5565,289.0
366499000,2238.0,81.557,
366542920,596.8,27.4805,253.0
366549190,272.29,20.435,
366556140,,32.6045,
366566510,,18.788,
366617950,783.3,24.888,
366646910,954.88,29.9815,344.0
366688750,223.8,24.705,
366691880,895.2,27.6025,301.0
366705860,2238.0,61.8235,1418.0
366712000,,17.9645,
366721880,671.4,28.914,181.0
366722740,298.4,15.128,
366731480,223.8,20.1605,
366734650,335.7,21.045,
366736140,,23.18,
366736360,522.2,26.901,
366738920,,24.1255,184.0
366743980,484.9,28.182,203.0
366744320,477.44,22.0515,
366747870,675.13,24.888,
366748340,186.5,23.058,
366752970,731.08,31.3235,299.0
366755160,499.82,22.021,
366756780,1342.8,51.606,
366761830,3580.8,52.826,1264.0
366764080,328.24,23.2105,
366765940,596.8,26.352,198.0
366775140,,34.1295,364.0
366780440,373.0,22.265,
366783820,298.4,20.252,
366785430,261.1,21.167,
366794430,317.05,22.4785,113.0
366798950,,22.814,121.0
366817170,671.4,23.302,
366820000,1492.0,46.7565,979.0
366822910,,24.3695,
366825520,276.02,20.374,
366839630,708.7,24.278,176.0
366845000,149.2,28.182,166.0
366848260,335.7,31.842,277.0
366851370,876.55,33.123,304.0
366857640,,15.128,
366860000,,77.3175,3143.0
366862830,,22.265,
366864820,440.14,24.5525,148.0
366866750,,22.5395,
366867690,,23.8205,220.0
366868380,261.1,20.2825,
366869780,492.36,32.086,188.0
366873860,,28.06,
366876870,,19.642,
366877090,257.37,22.6615,
366881590,354.35,21.9295,
366886090,,20.74,
366886330,748.984,24.827,216.0
366891020,298.4,15.25,
366892680,,19.337,
366894520,358.08,12.993,
366896420,466.25,24.1865,135.0
366896490,522.2,33.367,229.0
366899520,1790.4,45.628,591.0
366899750,,20.252,
366900670,671.4,33.0925,338.0
366901360,839.25,40.9615,462.0
366903000,2387.2,63.806,1416.0
366904590,649.02,13.3895,
366906080,,17.446,
366906550,298.4,15.3415,
366906730,708.7,30.439,254.0
366907180,1163.76,34.038,
366908640,373.0,19.3675,
366909240,820.6,35.319,339.0
366912350,1119.0,30.134,349.0
366915690,522.2,23.6375,194.0
366916740,876.55,32.452,356.0
366920560,,23.9425,138.0
366927850,559.5,22.9665,154.0
366927920,,28.5175,
366929780,484.9,25.7115,
366934770,428.95,22.387,112.0
366936280,701.24,27.9685,185.0
366940480,634.1,27.999,
366941780,857.9,35.868,402.0
366942630,223.8,16.836,
366943720,,12.688,
366945410,167.85,16.47,
366946000,,77.3175,3308.0
366947000,,53.558,1866.0
366947090,522.2,24.4,138.0
366947560,346.89,16.043,
366949730,,23.729,
366950060,1342.8,47.4885,
366950140,,27.999,196.0
366951350,387.92,26.3825,
366953120,,15.067,
366954430,261.1,19.0015,
366954510,596.8,34.9225,
366955140,,18.544,
366959080,559.5,20.5265,
366961020,522.2,35.563,176.0
366961860,447.6,21.167,
366962040,283.48,15.189,
366962140,544.58,23.7595,
366969110,,22.4175,112.0
366971220,,21.3195,
366973860,320.78,23.607,136.0
366975990,,48.3425,
366978060,842.98,29.0665,300.0
366978110,1044.4,29.0055,227.0
366979610,,22.1125,
366982430,,30.134,349.0
366983070,1119.0,43.005,754.0
366983180,499.82,25.742,
366983260,820.6,31.72,277.0
366986010,465.504,22.631,
366986130,1342.8,49.715,
366986140,,49.593,
366986160,1342.8,49.593,
366987550,,23.6375,
366987710,1865.0,110.3795,8092.0
366988020,,25.925,
366988070,447.6,22.814,148.0
366988130,,24.766,188.0
366988540,466.25,22.265,135.0
366988820,839.25,32.1165,
366991520,596.8,22.875,
366991610,,22.9055,
366991820,447.6,19.825,
366993790,,22.3565,
367000620,1044.4,47.4885,662.0
367002510,447.6,15.128,
367002630,186.5,49.593,
367005320,,15.3415,
367008260,272.29,21.716,
367008570,,11.895,
367008590,596.8,26.779,210.0
367010820,1156.3,36.844,453.0
367011410,596.8,26.779,210.0
367011440,484.9,23.729,139.0
367013530,,23.485,
367016390,1641.2,44.4995,199.0
367016590,1342.8,51.606,
367016610,1492.0,45.628,
367018620,596.8,30.012,
367018680,246.18,22.448,
367019070,410.3,17.1715,
367019320,261.1,30.256,
367019860,1119.0,26.9315,207.0
367020280,,14.1215,
367022190,268.56,25.1015,
367024080,559.5,26.7485,229.0
367024210,,23.119,
367026930,,25.1015,
367028430,,25.071,
367028490,522.2,29.0055,
367030568,447.6,23.5765,
367032960,559.5,23.5765,
367033480,343.16,20.13,
367033950,1268.2,47.1835,
367037040,272.29,20.618,
367037240,373.0,21.716,
367037960,507.28,24.461,
367038390,,27.9075,148.0
367039940,839.25,36.478,
367040180,492.36,23.119,
367040420,,14.457,
367040650,,25.6505,239.0
367041640,746.0,25.498,
367045150,,15.128,
367045720,,17.69,
367046890,559.5,21.6855,
367046940,1305.5,34.0685,469.0
367048250,249.91,15.128,
367048390,,23.6375,
367051770,,16.4395,
367051910,,15.128,
367051920,373.0,23.7595,
367059420,246.18,15.128,
367059830,279.75,17.812,
367060330,,20.435,
367060690,149.2,16.2565,
367064000,1342.8,39.04,445.0
367068230,783.3,33.0925,845.0
367071220,335.7,15.128,
367071470,671.4,28.975,
367073740,283.48,22.509,86.0
367073890,317.05,23.79,
367075080,,14.03,
367075090,261.1,23.485,125.0
367077480,391.65,22.57,
367078130,,32.1165,
367078530,,12.5355,
367079190,634.1,26.047,164.0
367079690,522.2,22.3565,
367080420,447.6,26.0165,
367081420,365.54,30.9575,205.0
367082010,895.2,29.524,
367082710,895.2,27.4195,198.0
367083630,428.95,25.0405,179.0
367084000,,63.8365,1415.0
367084010,,22.7835,172.0
367084450,895.2,26.0165,
367084590,857.9,32.1165,
367084830,320.78,24.8575,140.0
367085290,1193.6,25.4675,324.0
367085340,596.8,26.7485,304.0
367085680,783.3,23.6985,
367086640,268.56,21.9905,
367086760,686.32,24.1255,225.0
367088130,1342.8,49.5015,
367088150,1492.0,49.715,
367088160,,49.715,
367088170,1342.8,49.715,
367088180,1342.8,49.715,
367088190,,51.057,
367088210,1342.8,49.959,
367088240,1342.8,49.959,
367088290,925.04,59.475,
367088340,1342.8,49.715,
367088350,1342.8,49.715,
367088480,1342.8,38.0945,
367088910,93.25,21.7465,
367088940,537.12,23.485,
367089110,223.8,20.069,
367089830,,22.448,
367091580,231.26,15.128,
367091920,,14.9755,
367092390,238.72,17.995,
367092610,335.7,18.239,
367092680,299.892,23.2105,86.0
367092720,320.78,23.2105,86.0
367092780,298.4,24.9185,142.0
367093980,242.45,17.69,
367094420,839.25,33.3365,390.0
367095140,402.84,23.6985,
367096960,466.25,25.376,195.0
367097050,537.12,24.583,158.0
367097850,895.2,35.197,333.0
367098030,596.8,29.707,204.0
367098360,,22.5395,
367098380,596.8,24.278,
367098770,,25.376,160.0
367099830,,21.4415,
367100960,272.29,23.9425,
367101060,261.1,17.4765,
367102860,272.29,23.18,
367103350,,23.2105,86.0
367104150,299.892,22.021,
367104160,299.892,22.021,
367104170,339.43,22.021,
367104180,,22.021,
367106680,895.2,28.5175,
367107650,335.7,19.703,
367107940,335.7,23.9425,136.0
367108420,447.6,24.949,
367108540,1342.8,43.8285,816.0
367108560,1492.0,50.63,727.0
367108570,1342.8,42.6085,892.0
367108640,447.6,25.1015,
367108780,,50.7215,
367108790,1342.8,49.715,
367108810,1387.56,46.421,
367108820,,61.0915,
367108840,1342.8,49.593,
367108850,1141.38,49.593,
367108860,1119.0,50.7215,
367108890,,50.7215,
367108910,1342.8,49.593,
367108920,,49.593,
367108940,1342.8,49.593,
367109680,138.01,14.2435,
367109860,,20.8925,
367109910,1678.5,45.811,
367111770,,12.4135,
367112210,373.0,19.8555,
367114980,272.29,21.533,
367115490,410.3,25.986,163.0
367115570,537.12,23.973,143.0
367116310,447.6,23.973,
367117390,671.4,33.062,324.0
367118330,596.8,25.8335,155.0
367118540,701.24,25.742,160.0
367119230,1246.566,31.354,
367120750,447.6,22.0515,
367120830,,12.81,
367122560,298.4,19.825,
367123290,350.62,26.9925,175.0
367124050,634.1,28.182,216.0
367124070,1715.8,44.164,1082.0
367124090,634.1,34.404,289.0
367124290,1007.1,37.759,342.0
367125630,783.3,33.7635,569.0
367125970,596.8,26.3825,173.0
367126440,537.12,24.888,148.0
367126460,335.7,24.888,148.0
367127120,500.566,17.3545,
367129120,387.92,22.7835,
367131690,402.84,23.8205,
367132160,596.8,33.8855,
367133130,484.9,22.4175,
367134030,,18.8795,
367134190,,19.703,
367134360,,16.836,
367134520,,20.4655,
367134750,634.1,24.095,
367134760,484.9,22.4175,
367135520,,21.777,
367136470,1119.0,27.572,298.0
367137170,634.1,25.498,
367138050,373.0,21.777,
367138310,,18.2695,
367138430,566.96,24.3085,146.0
367139130,,29.646,
367142490,,23.6375,79.0
367142560,522.2,17.4765,
367143030,525.93,22.6005,
367143550,746.0,25.7115,
367145460,,21.045,
367145530,,22.1735,
367147230,1268.2,49.6235,989.0
367150410,223.8,15.006,
367150610,492.36,17.6595,
367151060,525.184,28.06,191.0
367153680,373.0,21.9905,
367155280,373.0,28.5175,
367155810,354.35,27.45,197.0
367156340,317.05,21.1365,
367156350,410.3,24.888,147.0
367157020,,23.79,
367157650,,19.1235,
367157930,649.02,27.877,161.0
367159580,1119.0,34.0075,
367160840,522.2,22.936,206.0
367161000,,81.13,3739.0
367161350,1342.8,33.489,521.0
367161930,268.56,15.1585,
367162770,272.29,19.3675,
367163920,455.06,25.4675,
367164230,,12.2,
367165240,746.0,25.8945,186.0
367165250,276.02,19.703,
367166240,1342.8,49.471,
367166250,1492.0,49.471,
367166260,1342.8,49.471,
367166270,1492.0,49.471,
367166280,1342.8,49.471,
367167180,,25.7725,198.0
367167410,205.15,18.727,
367167790,483.408,17.141,
367168370,820.6,27.7245,
367169580,223.8,21.5025,
367170000,,63.1655,1517.0
367170350,984.72,50.5385,573.0
367170860,283.48,21.9905,
367170920,328.24,15.189,
367171480,895.2,33.3975,213.0
367172260,820.6,38.003,
367172910,484.9,30.5,
367173240,559.5,25.742,192.0
367175390,261.1,14.884,
367176360,559.5,23.0275,
367176750,,20.435,
367177620,283.48,25.5285,
367177980,1492.0,50.935,
367178220,421.49,24.888,
367179000,2353.63,63.806,1416.0
367179710,215.594,18.0255,
367181980,615.45,27.938,137.0
367182380,,17.8425,
367183130,272.29,15.128,
367183440,634.1,22.265,
367183720,701.24,24.888,149.0
367185050,503.55,28.0295,231.0
367185190,671.4,24.583,
367186180,,23.2105,
367186240,238.72,15.2195,
367186690,,25.62,241.0
367187080,522.2,19.642,
367187410,,25.1625,
367187480,402.84,22.692,116.0
367188060,,20.3435,
367189270,242.45,22.143,
367190320,805.68,25.986,162.0
367197910,85.79,12.627,
367197950,746.0,30.8355,453.0
367199090,,15.25,
367300490,354.35,19.215,
367300850,421.49,19.9165,
367300990,,20.435,
367301080,279.75,18.91,
367301340,537.12,25.376,160.0
367301390,,18.91,
367301650,298.4,21.3805,
367301830,417.76,23.485,
367303270,272.29,15.128,
367304350,335.7,18.1475,
367305930,634.1,30.378,
367306390,,25.376,175.0
367307370,895.2,27.999,
367308320,634.1,32.4215,223.0
367310440,,27.0535,
367310820,186.5,13.5115,
367311460,,15.2195,
367311520,447.6,19.9775,
367311690,238.72,27.2975,196.0
367312010,223.8,30.256,
367313170,305.86,23.973,157.0
367314190,,17.69,
367315810,559.5,28.06,
367316510,402.84,26.291,204.0
367318660,503.55,26.6265,231.0
367319000,,15.128,
367319530,,17.6595,
367320010,335.7,21.3805,
367320770,246.18,12.7795,
367323270,,25.559,143.0
367324020,119.36,25.5285,136.0
367324430,,19.398,
367324660,7.46,38.369,367.0
367326360,1492.0,32.513,338.0
367326740,253.64,15.189,
367327250,373.0,19.825,
367327310,447.6,17.6595,
367328720,,17.69,
367330420,596.8,24.6745,165.0
367330860,954.88,24.7965,
367331060,223.8,20.13,
367331190,,49.471,
367331210,,49.471,
367331290,,44.9875,
367331320,,45.5365,
367331330,,47.336,
367331760,,21.655,
367332000,1156.3,33.7025,
367332720,298.4,22.265,
367335360,466.25,20.435,
367339250,604.26,31.293,
367340920,,78.812,2310.0
367341030,1119.0,33.0925,299.0
367341280,268.56,14.945,
367341970,939.96,24.644,303.0
367343030,,15.0975,
367343270,255.132,17.3545,
367344000,2387.2,63.1655,1517.0
367345160,164.12,10.98,
367345320,,28.975,
367346750,522.2,28.5175,169.0
367346810,361.81,22.326,
367347000,447.6,32.513,277.0
367348005,,25.0405,
367348240,1119.0,48.0375,
367349810,223.8,17.6595,
367350060,335.7,22.265,114.0
367350260,238.72,25.1015,
367350760,,15.189,
367352000,931.008,27.6635,273.0
367353590,298.4,19.1235,
367354000,1044.4,33.977,412.0
367355000,1492.0,33.977,417.0
367355120,,17.629,
367355440,,13.5115,
367355870,,11.773,
367356320,,15.189,
367356710,913.85,28.0905,257.0
367358360,410.3,17.69,
367358520,,16.226,
367359170,287.21,22.875,
367360920,,13.5725,
367364340,350.62,24.0035,139.0
367367970,425.22,21.9905,
367369050,783.3,28.0905,263.0
367371250,932.5,25.803,244.0
367371890,559.5,24.034,183.0
367372000,954.88,33.245,348.0
367373350,671.4,25.8945,
367373450,74.6,24.156,136.0
367374000,447.6,30.683,205.0
367374490,477.44,20.2825,
367375120,380.46,18.361,
367375440,402.84,25.315,142.0
367378390,,33.5805,
367378410,,20.8925,
367379110,,21.9905,
367379150,634.1,23.8815,148.0
367379210,,24.705,127.0
367379720,,17.69,
367380910,373.0,19.337,
367382540,484.9,15.128,
367383720,2349.9,69.174,1691.0
367384460,484.9,25.2235,
367384580,,24.705,
367385870,820.6,26.1995,172.0
367388280,671.4,24.034,
367389120,,18.3,
367389220,466.25,24.156,140.0
367390380,2238.0,81.557,
367390410,492.36,14.9145,
367391340,335.7,23.851,
367394060,1417.4,41.9375,663.0
367394090,268.56,20.8925,
367394980,317.05,15.006,
367395640,2238.0,65.6055,2051.0
367395720,,19.642,
367395930,373.0,22.4785,
367397250,701.24,22.326,
367397450,272.29,17.2325,
367398120,,19.337,
367399460,74.6,9.76,
367400170,962.34,26.0165,
367401240,,18.605,
367401840,,16.5005,
367402670,,18.483,
367402860,,22.4175,
367402920,1193.6,37.9115,
367405340,,17.6595,
367406570,,15.0975,
367408020,820.6,33.6415,646.0
367408210,876.55,35.929,
367409750,447.6,19.276,
367411770,611.72,24.278,
367414380,805.68,27.2975,198.0
367420820,138.01,13.0845,
367426580,,15.86,
367433770,4595.36,54.839,1412.0
367434290,,17.6595,
367439730,354.35,21.655,
367439830,,17.69,
367444760,552.04,17.6595,
367448540,156.66,10.736,
367454240,462.52,23.9425,
367460660,1119.0,37.9115,677.0
367462350,634.1,22.448,
367463000,,63.1655,1517.0
367463820,373.0,21.35,
367465110,805.68,26.1995,172.0
367465130,723.62,30.5915,183.0
367470880,,17.69,
367474110,634.1,28.548,
367474160,,12.81,
367474410,279.75,10.675,
367477990,,21.5025,
367478000,1275.66,31.2625,321.0
367479000,1350.26,32.5435,352.0
367480370,596.8,30.988,182.0
367481870,70.87,10.492,
367485680,287.21,19.337,
367488280,,25.071,
367490000,1119.0,38.5825,
367493850,402.84,25.986,161.0
367494020,522.2,27.755,
367506240,238.72,21.106,
367510750,671.4,24.766,
367512170,537.12,26.962,171.0
367512180,500.566,24.1865,142.0
367512490,634.1,26.169,175.0
367512510,,25.376,164.0
367517140,290.94,19.032,
367522830,2238.0,47.1835,993.0
367525770,559.5,33.367,277.0
367528690,,51.7585,787.0
367530000,857.9,28.548,
367530460,272.29,19.1235,
367531260,261.1,20.13,
367534310,,24.7355,144.0
367536560,357.334,17.629,
367543740,317.05,21.167,
367544000,895.2,28.487,182.0
367546670,,10.37,
367553360,805.68,26.169,171.0
367553361,465.504,24.4,132.0
367557840,313.32,13.969,
367563000,1286.85,32.1775,
367565250,820.6,16.531,
367565560,357.334,17.69,
367565680,,17.6595,
367566960,559.5,20.862,
367568930,317.05,16.531,
367569470,272.29,15.982,
367570430,,50.142,1712.0
367571490,,26.169,170.0
367578000,,36.8745,343.0
367578550,559.5,21.228,
367588000,559.5,22.936,
367589000,373.0,24.278,148.0
367590010,522.2,17.202,
367594860,559.5,16.0735,
367598880,842.98,30.134,
367601000,1007.1,35.563,
367602000,,15.2195,
367602190,,9.211,
367605460,261.1,20.862,
367606470,298.4,17.08,
367609000,969.8,33.3365,237.0
367609850,447.6,15.4025,
367617080,522.2,20.2215,
367621180,,31.476,
367623150,298.4,12.81,
367623690,,24.156,134.0
367627530,223.8,14.9145,
367631140,253.64,20.862,
367642750,298.4,19.1235,
367647840,373.0,15.128,
367649000,2685.6,59.8105,1619.0
367650000,857.9,35.746,338.0
367650420,298.4,15.677,
367651970,783.3,17.6595,
367654070,,15.1585,
367658000,2238.0,64.477,1453.0
367664640,272.29,20.984,
367666000,,79.3305,2024.0
367668710,,14.701,
367673610,298.4,18.239,
367674280,,17.629,
367677990,298.4,20.862,
367680520,317.05,20.618,
367680660,317.05,20.618,
367688710,246.18,11.8035,
367691290,317.05,23.79,
367694000,2238.0,40.4735,691.0
367704540,,68.625,2451.0
367705530,484.9,31.903,307.0
367706450,,17.2325,
367717750,223.8,14.6705,
367720070,89.52,13.359,
367721000,596.8,23.79,
367722110,,27.1145,
367722480,2349.9,47.2445,1370.0
367722830,237.228,20.435,
367727070,500.566,24.705,125.0
367727460,402.84,26.962,180.0
367729000,4476.0,53.5885,1318.0
367730000,3730.0,53.5885,1318.0
367732660,,20.7095,
367741839,,52.9175,2037.0
367767000,2387.2,63.806,1416.0
367773000,,60.7255,
367774000,895.2,25.8335,192.0
367777000,559.5,31.5675,215.0
367778000,,20.0995,
367874400,,19.9165,
368038000,4834.08,76.9515,3382.0
368046000,,63.8365,1415.0
368048000,,19.1235,
368056000,402.84,24.278,148.0
368085000,4476.0,94.55,5308.0
368158000,,42.6085,896.0
368206000,895.2,28.7005,
368213000,447.6,21.6245,
368217000,746.0,29.036,210.0
368222000,522.2,25.0405,
368272000,,73.4135,5111.0
368293000,4662.5,104.92,7419.0
368313000,410.3,25.864,
368339000,492.36,17.6595,
368371000,671.4,22.7225,177.0
368380000,1342.8,34.0075,
368388000,373.0,18.117,
368409000,1268.2,27.084,175.0
368446000,410.3,19.642,
368466000,223.8,29.402,
368470000,3580.8,52.46,
368499000,1230.9,51.8805,
368526000,,35.563,
368555000,4289.5,95.8615,4068.0
368578000,701.24,26.1995,286.0
368588000,,18.2695,
368608000,839.25,32.2385,
368609000,649.02,27.4805,226.0
368652000,261.1,20.435,
368698000,634.1,27.4805,200.0
368699000,447.6,28.3345,194.0
369174000,746.0,45.7195,662.0
369191000,134.28,12.383,
369283000,1492.0,45.628,868.0
369511000,951.15,28.487,438.0
369515000,1342.8,36.0205,316.0
369516000,634.1,26.596,251.0
369519000,447.6,20.6485,
369524000,1163.76,34.038,
369531000,1342.8,42.6085,896.0
369546000,857.9,35.136,268.0
303137000,,68.869,
366218540,373.0,23.485,
366841470,634.1,33.8855,
366939620,783.3,27.3585,
366998350,253.64,17.1715,
367059740,,19.642,
367110160,335.7,23.0885,145.0
367112420,,14.945,
367112630,335.7,16.6225,
367127080,354.35,23.973,191.0
367130870,503.55,23.485,
367133080,272.29,19.2455,
367133950,522.2,24.888,
367138530,339.43,23.485,
367174750,373.0,15.128,
367300830,272.29,21.716,
367307820,111.9,11.9255,
367334770,895.2,28.67,221.0
367338460,559.5,20.069,
367341940,298.4,13.6335,
367343760,,12.749,
367346110,634.1,25.7725,
367347420,,25.376,175.0
367363350,954.88,31.049,310.0
367409350,,26.7485,215.0
367529450,634.1,24.095,162.0
367555440,805.68,25.986,162.0
367738980,2984.0,73.9015,1957.0
1,,64.538,1809.0
36764000,,59.6275,1341.0
303426100,969.8,35.441,
303428000,1033.21,34.1905,319.0
303457000,634.1,28.0295,284.0
303636000,876.55,26.9315,258.0
303667000,,30.561,
338622000,,55.4795,1299.0
350107000,,61.0915,1518.0
366861460,404.332,28.975,164.0
366926550,402.84,24.6135,
367026970,1678.5,45.628,591.0
367032060,1275.66,33.489,553.0
367131260,474.456,24.888,
367135370,,51.8805,
367163370,746.0,50.9045,598.0
367373760,,32.1165,
367377660,2349.9,69.174,1691.0
367484550,559.5,34.1905,335.0
367487020,,37.9725,
367528000,820.6,32.1165,
367528090,,26.2605,199.0
367530330,634.1,26.0775,167.0
367551860,,18.6355,
367558650,1678.5,54.5035,848.0
367567290,2238.0,51.789,731.0
367656470,701.24,25.681,138.0
367692620,391.65,22.448,
367701930,,25.437,
367708360,,24.9185,147.0
367744170,402.84,23.485,
367745030,,22.3565,
367772272,1678.5,50.63,717.0
368037000,3730.0,85.644,3976.0
368412000,1342.8,30.134,309.0
368489000,,61.2135,
366946980,261.1,34.4345,341.0
368488000,410.3,28.853,166.0
367170270,432.68,27.4195,229.0
367147430,559.5,27.45,230.0
367618000,671.4,23.18,154.0
367545610,957.118,30.1645,282.0
368251000,5222.0,79.5745,3485.0
366804620,,19.825,
367026600,634.1,33.2145,289.0
303221000,839.25,36.112,485.0
303643000,634.1,27.511,219.0
369176000,1492.0,41.5715,
368564000,634.1,33.3365,311.0
366864000,1865.0,43.676,1004.0
367154100,634.1,26.9925,193.0
367323610,429.696,25.8335,
366173000,1119.0,33.5195,655.0
367892000,0.746,39.3145,416.0
367175590,,21.1975,
338132000,3580.8,85.4,3706.0
367452240,298.4,21.045,
367331540,1193.6,34.282,605.0
367153430,,28.7005,388.0
366727880,671.4,29.463,213.0
367171980,335.7,23.79,
367173230,,14.7315,
367466760,402.84,27.267,189.0
366927000,,73.505,2019.0
371502000,2909.4,73.505,2019.0
367084810,537.12,24.2475,143.0
367101660,477.44,23.79,
366270000,,63.8365,1415.0
367571460,484.9,17.69,
338873000,,72.468,2110.0
