mmsi,year,month,vesselType
431200880,2015,4,"Handline and pole-lines (mechanized),Handline and pole-lines (hand operated)"
247306030,2015,6,LTL
247051830,2015,1,Bottom trawls
219005837,2015,1,GNS
224581000,2015,12,"Drifting longlines,Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines"
431700830,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
345080022,2015,1,Purse seines
239139000,2015,3,PS
224103220,2015,2,PS
416032700,2015,6,"Longlines (not specified),Longlines (not specified),Longlines (not specified)"
645379000,2015,2,Purse seines
275141000,2015,2,OTM
247144080,2015,7,Longlines (not specified)
416853000,2015,12,Purse seines
244759000,2015,1,TBB
205307000,2015,5,GNS
224122000,2015,12,Drifting longliner
224071000,2015,1,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224053650,2015,12,Drifting longliner
416002304,2015,4,Longlines (not specified)
553111754,2015,12,Purse seines
238288740,2015,2,PS
529695000,2015,12,Gear not known or not specified
432388000,2015,6,Gear not known or not specified
249000980,2015,8,Longlines (not specified)
230034210,2015,1,OTM
239329000,2015,9,Drifting longliner
645379000,2015,1,Purse seines
512236000,2015,3,Other trawls (not specified)
441650000,2015,1,"Longlines (not specified),Gear not known or not specified,Drifting longlines,Longlines (not specified),Drifting longlines"
224103760,2015,5,Handline and pole-lines (hand operated)
316002956,2015,3,Hooks and lines (not specified)
601425000,2015,1,"Miscellaneous gears,Longlines (not specified),Drifting longlines"
367157650,2015,8,Trolling lines
235105524,2015,4,FPO
540002300,2015,9,Longlines (not specified)
224371000,2015,1,Drifting longliner
228367000,2015,1,Gear not known or not specified
224112790,2015,4,GNS
416773000,2015,1,"Longlines (not specified),Longlines (not specified),Longlines (not specified)"
247152310,2015,12,Longlines (not specified)
540002200,2015,1,Longlines (not specified)
224597000,2015,9,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224353650,2015,1,PS
219016004,2015,4,GNS
432525000,2015,7,Handline and pole-lines (hand operated)
247141390,2015,5,Purse seines
247131490,2015,8,PS
275461000,2015,2,FPO
256000527,2015,7,Gear not known or not specified
431038000,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
416171600,2015,9,"Longlines (not specified),Longlines (not specified)"
224038000,2015,12,Set longliner
576093000,2015,12,Longlines (not specified)
204209570,2015,4,LHP
245553000,2015,12,GNS
224597000,2015,12,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
245553000,2015,1,GNS
224088000,2015,11,"Purse seines,Gear not known or not specified"
207426000,2015,10,OTM
224053650,2015,1,Drifting longliner
235000640,2015,11,FPO
228367000,2015,12,Gear not known or not specified
224472000,2015,12,"Drifting longlines,Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines,Gear not known or not specified"
224017460,2015,3,Purse seines
204848000,2015,3,FPO
416002304,2015,12,Longlines (not specified)
224071000,2015,7,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224208650,2015,1,Bottom trawls
245744000,2015,1,TBB
247143860,2015,1,Bottom trawls
553111754,2015,7,Purse seines
432228000,2015,2,"Longlines (not specified),Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
576093000,2015,6,Longlines (not specified)
247220620,2015,4,PS
224064850,2015,4,Handline and pole-lines (hand operated)
601111600,2015,3,"Longlines (not specified),Miscellaneous gears,Drifting longlines"
416002116,2015,12,"Drifting longlines,Longlines (not specified)"
416000784,2015,4,Gear not known or not specified
431038000,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
204225000,2015,1,Longlines (not specified)
432525000,2015,2,Handline and pole-lines (hand operated)
207343400,2015,6,Set longliner
247146610,2015,9,Bottom trawls
248000280,2015,8,Gear not known or not specified
263401590,2015,3,GNS
224038000,2015,6,Set longliner
432984000,2015,3,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
235003355,2015,12,FPO
250140400,2015,2,LHP
412691540,2015,8,Drifting longlines
247142520,2015,6,Set longliner
431700830,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
224074730,2015,6,Set longliner
247142520,2015,8,Set longliner
367157650,2015,9,Trolling lines
412460283,2015,12,Longlines (not specified)
265629560,2015,8,LTL
224004420,2015,1,Purse seines
265612260,2015,4,FPO
431700190,2015,4,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
247140580,2015,1,PS
224103220,2015,4,PS
224022490,2015,1,PS
247086590,2015,5,Longlines (not specified)
247144080,2015,6,Longlines (not specified)
224064850,2015,5,Handline and pole-lines (hand operated)
245655000,2015,1,TBB
224020790,2015,1,"Handline and pole-lines (hand operated),Drifting longlines"
237963000,2015,3,PS
774559424,2015,1,"Purse seines,Purse seines"
275226000,2015,1,OTM
412691540,2015,12,Drifting longlines
247086590,2015,1,Longlines (not specified)
266358000,2015,5,GNS
412500157,2015,9,Gear not known or not specified
227883000,2015,1,GNS
660001800,2015,11,Purse seines
432388000,2015,5,Gear not known or not specified
224027970,2015,1,Gear not known or not specified
538060008,2015,12,Purse seines
219922000,2015,4,GNS
244309000,2015,2,Bottom trawls
224208650,2015,12,Bottom trawls
219001614,2015,2,Set longliner
244759000,2015,2,TBB
247068110,2015,6,Bottom trawls
224371000,2015,12,Drifting longliner
224456000,2015,2,"Drifting longlines,Longlines (not specified),Drifting longlines,Drifting longlines"
224103760,2015,4,Handline and pole-lines (hand operated)
224183670,2015,1,Drifting longliner
224099450,2015,12,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
247300180,2015,12,Set longliner
244583000,2015,1,OTM
275270000,2015,4,OTM
601111600,2015,12,"Longlines (not specified),Miscellaneous gears,Drifting longlines"
247100480,2015,1,Bottom trawls
265704020,2015,10,LTL
412691520,2015,8,Drifting longlines
431101320,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
540002200,2015,2,Longlines (not specified)
247142730,2015,1,Longlines (not specified)
204225000,2015,12,Longlines (not specified)
227139900,2015,2,OTM
412460285,2015,12,Longlines (not specified)
247068110,2015,5,Bottom trawls
416001838,2015,12,Longlines (not specified)
224156290,2015,4,Handline and pole-lines (hand operated)
774559424,2015,2,"Purse seines,Purse seines"
239139000,2015,12,PS
367147350,2015,6,Hooks and lines (not specified)
204285000,2015,2,LHP
224021550,2015,5,PS
431200880,2015,12,"Handline and pole-lines (mechanized),Handline and pole-lines (hand operated)"
247145510,2015,3,Bottom trawls
247083390,2015,2,Purse seines
416237800,2015,2,Gear not known or not specified
265704020,2015,8,LTL
235070169,2015,8,FPO
224173660,2015,3,GNS
431503000,2015,12,"Purse seines,One boat operated purse seines"
224025440,2015,6,Handline and pole-lines (hand operated)
246338000,2015,2,TBB
416003236,2015,8,Longlines (not specified)
224173000,2015,12,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
224173000,2015,1,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
247120760,2015,12,Bottom trawls
601425000,2015,12,"Miscellaneous gears,Longlines (not specified),Drifting longlines"
412460285,2015,3,Longlines (not specified)
227581550,2015,9,FPO
247140580,2015,2,PS
224082580,2015,3,Set longliner
247151110,2015,3,Longlines (not specified)
224082580,2015,11,Set longliner
227145800,2015,1,GNS
224021550,2015,4,PS
431700190,2015,3,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
416773000,2015,2,"Longlines (not specified),Longlines (not specified),Longlines (not specified)"
275455000,2015,12,FPO
275455000,2015,3,FPO
219001703,2015,7,GNS
247131490,2015,12,PS
204248000,2015,4,PS
235003355,2015,1,FPO
205307000,2015,12,GNS
247120760,2015,1,Bottom trawls
247151990,2015,1,Longlines (not specified)
316002956,2015,4,Hooks and lines (not specified)
230034210,2015,12,OTM
248000280,2015,7,Gear not known or not specified
224004420,2015,3,Purse seines
227139900,2015,1,OTM
204209890,2015,6,Set longliner
412439605,2015,12,"Gear not known or not specified,Purse seines"
224353650,2015,12,PS
440778000,2015,3,"Longlines (not specified),Handline and pole-lines (hand operated),Gear not known or not specified,Drifting longlines"
227132100,2015,4,LHP
227581550,2015,8,FPO
211402250,2015,12,TBB
211402250,2015,9,TBB
204848000,2015,4,FPO
256000527,2015,5,Gear not known or not specified
224020790,2015,12,"Handline and pole-lines (hand operated),Drifting longlines"
271072603,2015,3,Bottom trawls
440934000,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
601433000,2015,2,"Miscellaneous gears,Drifting longlines,Longlines (not specified)"
245744000,2015,12,TBB
512119000,2015,2,Gear not known or not specified
576850000,2015,7,"Longlines (not specified),Drifting longlines,Gear not known or not specified"
246269000,2015,1,TBB
204838000,2015,4,LHP
250140400,2015,12,LHP
247141390,2015,4,Purse seines
247100480,2015,12,Bottom trawls
204212000,2015,1,"Drifting longlines,Longlines (not specified),Longlines (not specified),Driftnets,Gear not known or not specified"
416853000,2015,11,Purse seines
224085260,2015,11,Handline and pole-lines (hand operated)
247142730,2015,2,Longlines (not specified)
275141000,2015,3,OTM
224042740,2015,1,PS
224027970,2015,2,Gear not known or not specified
247143860,2015,12,Bottom trawls
275162000,2015,1,OTM
235097217,2015,3,FPO
235007143,2015,12,FPO
250003407,2015,9,OTM
224147350,2015,9,Set longliner
224120840,2015,1,Drifting longliner
237963000,2015,4,PS
238288740,2015,12,PS
416225500,2015,3,"Drifting longlines,Longlines (not specified)"
413300480,2015,12,"Longlines (not specified),Drifting longlines,Gear not known or not specified"
247100530,2015,1,Bottom trawls
265661180,2015,6,LTL
247051830,2015,12,Bottom trawls
367147350,2015,5,Hooks and lines (not specified)
204248000,2015,5,PS
224067690,2015,1,Bottom trawls
224456000,2015,1,"Drifting longlines,Longlines (not specified),Drifting longlines,Drifting longlines"
225382000,2015,12,Hooks and lines (not specified)
412500244,2015,7,Gear not known or not specified
265612260,2015,3,FPO
224933000,2015,3,"Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines"
227883000,2015,3,GNS
247239900,2015,3,PS
255402650,2015,5,LHP
247145510,2015,6,Bottom trawls
512119000,2015,1,Gear not known or not specified
275164000,2015,2,GNS
219922000,2015,3,GNS
204838000,2015,5,LHP
224029580,2015,1,PS
224012690,2015,6,Handline and pole-lines (hand operated)
412320026,2015,9,Drifting longlines
207343400,2015,12,Set longliner
263401590,2015,4,GNS
440623000,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
440574000,2015,1,"Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines,Drifting longlines"
412439605,2015,1,"Gear not known or not specified,Purse seines"
245655000,2015,12,TBB
219001614,2015,1,Set longliner
249000980,2015,9,Longlines (not specified)
412460283,2015,2,Longlines (not specified)
224022490,2015,2,PS
219016004,2015,3,GNS
224120840,2015,2,Drifting longliner
224093760,2015,2,Hooks and lines (not specified)
238361240,2015,3,PS
416000784,2015,3,Gear not known or not specified
416237800,2015,12,Gear not known or not specified
224933000,2015,12,"Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines"
224472000,2015,1,"Drifting longlines,Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines,Gear not known or not specified"
440574000,2015,12,"Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines,Drifting longlines"
367318950,2015,11,Multigear not specified
227142200,2015,10,PS
224067690,2015,2,Bottom trawls
207421000,2015,12,OTM
512003467,2015,12,Gear not known or not specified
224106260,2015,3,Purse seines
247144270,2015,4,PS
275162000,2015,12,OTM
316018816,2015,5,"Trolling lines,Hooks and lines (not specified)"
233714000,2015,1,Bottom trawls
235100159,2015,5,FPO
235070169,2015,9,FPO
219005837,2015,2,GNS
416032700,2015,7,"Longlines (not specified),Longlines (not specified),Longlines (not specified)"
224085260,2015,3,Handline and pole-lines (hand operated)
244309000,2015,1,Bottom trawls
412460287,2015,2,Longlines (not specified)
224156290,2015,5,Handline and pole-lines (hand operated)
412460288,2015,2,Longlines (not specified)
224581000,2015,1,"Drifting longlines,Longlines (not specified),Handline and pole-lines (hand operated),Drifting longlines"
224308000,2015,12,Drifting longliner
576850000,2015,12,"Longlines (not specified),Drifting longlines,Gear not known or not specified"
431702140,2015,4,"Drifting longlines,Drifting longlines"
244583000,2015,2,OTM
227635680,2015,3,PS
224173660,2015,12,GNS
416171600,2015,12,"Longlines (not specified),Longlines (not specified)"
224074730,2015,5,Set longliner
235105524,2015,5,FPO
224042740,2015,2,PS
235001800,2015,2,FPO
247083390,2015,1,Purse seines
416239700,2015,9,"Drifting longlines,Longlines (not specified)"
345080022,2015,2,Purse seines
255402650,2015,4,LHP
432228000,2015,1,"Longlines (not specified),Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
416001838,2015,1,Longlines (not specified)
440934000,2015,2,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
224029580,2015,12,PS
211351000,2015,2,TBB
250000608,2015,12,GNS
416234700,2015,4,Drifting longlines
224088000,2015,11,"Purse seines,Gear not known or not specified"
235100159,2015,3,FPO
271072871,2015,9,Purse seines
224025440,2015,3,Handline and pole-lines (hand operated)
275461000,2015,12,FPO
204206740,2015,7,LHP
441018000,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
211351000,2015,1,TBB
265661180,2015,5,LTL
540004200,2015,12,Longlines (not specified)
538060008,2015,1,Purse seines
235627000,2015,12,Bottom trawls
204209570,2015,5,LHP
235007143,2015,2,FPO
238361240,2015,12,PS
512236000,2015,1,Other trawls (not specified)
250000608,2015,1,GNS
345080900,2015,2,Purse seines
247239900,2015,11,PS
224183670,2015,2,Drifting longliner
247306030,2015,5,LTL
224170000,2015,2,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
512000015,2015,12,Multigear not specified
227142200,2015,1,PS
412500157,2015,12,Gear not known or not specified
440246000,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
224012690,2015,7,Handline and pole-lines (hand operated)
239329000,2015,6,Drifting longliner
412500244,2015,12,Gear not known or not specified
204209890,2015,7,Set longliner
227132100,2015,3,LHP
345080900,2015,1,Purse seines
224017460,2015,12,Purse seines
247150040,2015,1,Longlines (not specified)
540004200,2015,9,Longlines (not specified)
224185220,2015,3,Longlines (not specified)
412460288,2015,12,Longlines (not specified)
247144270,2015,3,PS
316018816,2015,6,"Trolling lines,Hooks and lines (not specified)"
441018000,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
224112790,2015,5,GNS
367162190,2015,10,Trolling lines
227635680,2015,1,PS
265629560,2015,7,LTL
275226000,2015,12,OTM
416003236,2015,9,Longlines (not specified)
576737000,2015,1,"Longlines (not specified),Drifting longlines,Gear not known or not specified"
246269000,2015,12,TBB
207421000,2015,3,OTM
247300180,2015,1,Set longliner
416002287,2015,3,Longlines (not specified)
540002300,2015,1,Longlines (not specified)
247152310,2015,2,Longlines (not specified)
247146610,2015,6,Bottom trawls
238561110,2015,4,Purse seines
224106260,2015,2,Purse seines
412320026,2015,12,Drifting longlines
512000015,2015,1,Multigear not specified
440623000,2015,3,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
204212000,2015,2,"Drifting longlines,Longlines (not specified),Longlines (not specified),Driftnets,Gear not known or not specified"
227316570,2015,6,FPO
441650000,2015,12,"Longlines (not specified),Gear not known or not specified,Drifting longlines,Longlines (not specified),Drifting longlines"
247100530,2015,12,Bottom trawls
247220620,2015,3,PS
416225500,2015,4,"Drifting longlines,Longlines (not specified)"
224093760,2015,1,Hooks and lines (not specified)
416002116,2015,3,"Drifting longlines,Longlines (not specified)"
238769140,2015,4,Purse seines
235627000,2015,1,Bottom trawls
238769140,2015,12,Purse seines
367162190,2015,1,Trolling lines
204206740,2015,6,LHP
235001800,2015,1,FPO
416002287,2015,4,Longlines (not specified)
432984000,2015,1,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
440246000,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines"
247151110,2015,5,Longlines (not specified)
265752900,2015,10,FPO
238613210,2015,4,PS
238613210,2015,12,PS
271072603,2015,10,Bottom trawls
416002655,2015,1,Longlines (not specified)
431702140,2015,3,"Drifting longlines,Drifting longlines"
275164000,2015,3,GNS
416002655,2015,12,Longlines (not specified)
235000640,2015,8,FPO
233714000,2015,2,Bottom trawls
412460287,2015,12,Longlines (not specified)
224545000,2015,1,Drifting longliner
247151990,2015,12,Longlines (not specified)
529695000,2015,1,Gear not known or not specified
224545000,2015,12,Drifting longliner
224147350,2015,12,Set longliner
225382000,2015,1,Hooks and lines (not specified)
440778000,2015,2,"Longlines (not specified),Handline and pole-lines (hand operated),Gear not known or not specified,Drifting longlines"
224170000,2015,1,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
207426000,2015,8,OTM
247151930,2015,7,Longlines (not specified)
227316570,2015,7,FPO
576737000,2015,12,"Longlines (not specified),Drifting longlines,Gear not known or not specified"
431101320,2015,12,"Longlines (not specified),Longlines (not specified),Drifting longlines,Drifting longlines,Longlines (not specified)"
211238930,2015,1,Midwater trawls
250003407,2015,8,OTM
431503000,2015,1,"Purse seines,One boat operated purse seines"
224122000,2015,1,Drifting longliner
247150040,2015,2,Longlines (not specified)
211238930,2015,11,Midwater trawls
416234700,2015,3,Drifting longlines
224308000,2015,1,Drifting longliner
246338000,2015,12,TBB
412691520,2015,12,Drifting longlines
204285000,2015,1,LHP
224185220,2015,4,Longlines (not specified)
238561110,2015,12,Purse seines
601433000,2015,1,"Miscellaneous gears,Drifting longlines,Longlines (not specified)"
224099450,2015,1,"Handline and pole-lines (hand operated),Drifting longlines,Longlines (not specified)"
235097217,2015,2,FPO