mmsi,primary_geartype,secondary_geartype
224475470,Set longlines,Pots and traps
235092375,Pots and traps,Set gillnets
247123920,Trawlers,Purse seines
247131310,Purse seines,Set longlines
247130750,Trawlers,Set longlines
247086590,Trawlers,Set longlines
275171000,Pots and traps,Unknown gear
219003369,Trawlers,Set gillnets
235013031,Pots and traps,Set gillnets
235078541,Pots and traps,Set gillnets
227318010,Purse seines,Set gillnets
247133560,Trawlers,Purse seines
224152340,Set longlines,Set gillnets
220000052,Trawlers,Set gillnets
240096000,Trawlers,Purse seines
247123250,Set longlines,Set gillnets
227322680,Trawlers,Pots and traps
219015502,Trawlers,Set gillnets
224051140,Set longlines,Pots and traps
247300240,Trawlers,Set longlines
238914540,Purse seines,Trawlers
239977000,Purse seines,Set gillnets
227338000,Set longlines,Set gillnets
247145820,Trawlers,Purse seines
227616510,Trawlers,Set gillnets
207421000,Trawlers,Pole and line
247122360,Trawlers,Set longlines
219001549,Trawlers,Set gillnets
263402290,Pots and traps,Set gillnets
239128000,Purse seines,Set gillnets
247087070,Trawlers,Set gillnets
247147480,Trawlers,Purse seines
247081660,Set longlines,Set gillnets
235078344,Trawlers,Pots and traps
250002836,Fishing vessel,Set gillnets
246570000,Trawlers,Set gillnets
227408000,Set gillnets,Set longlines
219006005,Trawlers,Set gillnets
241119000,Trawlers,Purse seines
227748550,Set gillnets,Set longlines
237687000,Purse seines,Trawlers
219002464,Set gillnets,Fishing vessel
247141390,Trawlers,Purse seines
230981860,Trawlers,Pots and traps
239340000,Purse seines,Drifting longlines
250105800,Purse seines,Trawlers
250000283,Trawlers,Fishing vessel
227686570,Trawlers,Set gillnets
247151810,Trawlers,Set gillnets
263241000,Pots and traps,Set longlines
247303180,Purse seines,Set longlines
247065680,Trawlers,Purse seines
219004307,Trawlers,Set gillnets
263401480,Set gillnets,Pots and traps
247100070,Trawlers,Purse seines
247069490,Purse seines,Set longlines
263271000,Set longlines,Drifting longlines
238770640,Purse seines,Set gillnets
204285000,Pole and line,Set longlines
237168000,Trawlers,Purse seines
237119000,Trawlers,Purse seines
204205960,Pots and traps,Pole and line
238899140,Purse seines,Set gillnets
261003530,Set gillnets,Drifting longlines
255402570,Pole and line,Drifting longlines
247144390,Trawlers,Purse seines
218363000,Trawlers,Fishing vessel
238400640,Trawlers,Purse seines
247096440,Trawlers,Set longlines
247051020,Trawlers,Purse seines
275454000,Pots and traps,Unknown gear
219005919,Set gillnets,Set longlines
238592410,Trawlers,Set gillnets
237558000,Trawlers,Purse seines
227650230,Pots and traps,Trawlers
247152630,Trawlers,Set gillnets
237329000,Trawlers,Set gillnets
247143140,Trawlers,Set longlines
205327000,Trawlers,Set gillnets
211232810,Trawlers,Set gillnets
250000309,Set gillnets,Trawlers
263402370,Set gillnets,Pots and traps
247044790,Trawlers,Purse seines
248000020,Set longlines,Drifting longlines
238743340,Purse seines,Set gillnets
247069980,Purse seines,Set longlines
275455000,Pots and traps,Unknown gear
247061710,Trawlers,Set longlines
247100960,Purse seines,Set longlines
204856000,Set longlines,Drifting longlines
244434000,Trawlers,Purse seines
204202570,Pole and line,Fishing vessel
227317490,Set gillnets,Pots and traps
261006050,Trawlers,Set gillnets
247143160,Trawlers,Purse seines
265606310,Trawlers,Pots and traps
247140740,Set longlines,Fishing vessel
210928000,Drifting longlines,Set longlines
247149150,Trawlers,Purse seines
247147340,Trawlers,Set longlines
247147080,Trawlers,Purse seines
219007479,Set gillnets,Trollers
265824000,Trawlers,Purse seines
247142450,Trawlers,Purse seines
250001093,Trawlers,Set gillnets
247142180,Purse seines,Set longlines
247252810,Set longlines,Set gillnets
247280590,Trawlers,Purse seines
235004476,Pots and traps,Set gillnets
204204280,Pole and line,Set longlines
227318020,Purse seines,Set longlines
263412560,Pole and line,Set longlines
247083420,Trawlers,Purse seines
247099820,Trawlers,Set longlines
219001587,Trawlers,Set gillnets
250002268,Pots and traps,Fishing vessel
247080920,Trawlers,Purse seines
247100550,Trawlers,Set gillnets
265653530,Set gillnets,Pole and line
207828790,Set gillnets,Trawlers
247080780,Trawlers,Set longlines
219343000,Fishing vessel,Trawlers
219020634,Trawlers,Fishing vessel
265718640,Pots and traps,Fishing vessel
238361340,Trawlers,Purse seines
238963340,Purse seines,Set gillnets
238752140,Purse seines,Trawlers
247142280,Trawlers,Purse seines
224396000,Set longlines,Set gillnets
247140460,Trawlers,Set longlines
237428000,Trawlers,Purse seines
219872000,Set gillnets,Trawlers
238972240,Trawlers,Purse seines
227354000,Set gillnets,Set longlines
250401000,Trawlers,Pots and traps
224618000,Set longlines,Set gillnets
225361000,Set longlines,Set gillnets
247149160,Trawlers,Set longlines
265648570,Set gillnets,Pole and line
240393000,Drifting longlines,Set gillnets
261006910,Trawlers,Drifting longlines
263413870,Set longlines,Drifting longlines
247146640,Purse seines,Set longlines
237446000,Trawlers,Purse seines
237453000,Trawlers,Set gillnets
247094480,Set longlines,Fishing vessel
227683480,Trawlers,Set gillnets
247145190,Trawlers,Set longlines
244770191,Trawlers,Pots and traps
265689870,Set gillnets,Pole and line
247143760,Purse seines,Set longlines
247149190,Trawlers,Set longlines
263312000,Pole and line,Set longlines
247102070,Trawlers,Purse seines
244982000,Trawlers,Purse seines
247131160,Trawlers,Set longlines
238764940,Purse seines,Trawlers
247141920,Set longlines,Set gillnets
265635620,Pots and traps,Fishing vessel
219012276,Trawlers,Set gillnets
227442000,Set gillnets,Set longlines
238279740,Purse seines,Trawlers
261003190,Set gillnets,Drifting longlines
247050980,Trawlers,Set gillnets
207424000,Trawlers,Pole and line
247110810,Trawlers,Fishing vessel
227931000,Trawlers,Fishing vessel
237216000,Trawlers,Purse seines
244605000,Set gillnets,Trawlers
244750410,Set gillnets,Pots and traps
247054440,Trawlers,Set gillnets
247079050,Trawlers,Set gillnets
219905000,Set gillnets,Set longlines
261028620,Trawlers,Set gillnets
265704020,Trollers,Fishing vessel
240374000,Purse seines,Set gillnets
230981710,Drifting longlines,Set gillnets
237034000,Trawlers,Purse seines
224115000,Set longlines,Set gillnets
227381000,Fishing vessel,Trawlers
248000728,Set longlines,Drifting longlines
227690560,Trawlers,Set gillnets
247087650,Trawlers,Purse seines
235068889,Pots and traps,Set gillnets
219009413,Trawlers,Set gillnets
237132000,Trawlers,Purse seines
266159000,Trawlers,Purse seines
224055240,Set longlines,Set gillnets
240222000,Pots and traps,Set gillnets
224028630,Set longlines,Pots and traps
247094570,Set longlines,Fishing vessel
247087260,Trawlers,Purse seines
227323060,Set gillnets,Set longlines
241065000,Trawlers,Set gillnets
263256000,Set gillnets,Pots and traps
247094630,Set longlines,Fishing vessel
247301080,Trawlers,Set longlines
227316320,Set gillnets,Set longlines
261002920,Set gillnets,Trawlers
239083000,Purse seines,Set longlines
247301460,Trawlers,Set longlines
247222060,Set longlines,Set gillnets
263415290,Set gillnets,Set longlines
207829550,Trawlers,Set gillnets
247131140,Set longlines,Fishing vessel
237383000,Trawlers,Purse seines
250106400,Trawlers,Fishing vessel
247110850,Purse seines,Set gillnets
247146240,Trawlers,Purse seines
247120230,Trawlers,Set longlines
261007360,Set gillnets,Set longlines
238583910,Purse seines,Set gillnets
238887840,Purse seines,Set gillnets
219005513,Set gillnets,Set longlines
247152140,Trawlers,Set longlines
204226000,Set longlines,Drifting longlines
247145650,Trawlers,Set longlines
265457000,Trawlers,Purse seines
211502800,Set gillnets,Trawlers
247149660,Trawlers,Set longlines
247065720,Trawlers,Set longlines
247140830,Trawlers,Purse seines
265503070,Pots and traps,Set gillnets
247073550,Purse seines,Trawlers
207828930,Set gillnets,Trawlers
247142290,Trawlers,Purse seines
241020000,Drifting longlines,Set gillnets
247092990,Trawlers,Purse seines
207827490,Trawlers,Set gillnets
204203650,Pole and line,Set longlines
238669140,Purse seines,Set gillnets
237387000,Trawlers,Set longlines
275460000,Pots and traps,Unknown gear
247252970,Trawlers,Set gillnets
237142000,Trawlers,Purse seines
238798340,Trawlers,Set gillnets
238161640,Purse seines,Trawlers
275453000,Pots and traps,Unknown gear
219011321,Trawlers,Set gillnets
247152010,Trawlers,Set longlines
247140040,Purse seines,Set longlines
247250120,Purse seines,Set longlines
204209950,Pole and line,Set longlines
247305480,Purse seines,Set longlines
247119770,Purse seines,Set longlines
247140850,Trawlers,Set gillnets
235011218,Pots and traps,Set gillnets
237345000,Trawlers,Purse seines
250000657,Fishing vessel,Trawlers
237089000,Purse seines,Trawlers
244119000,Trawlers,Set gillnets
204209890,Set longlines,Pole and line
265571280,Pots and traps,Fishing vessel
227513000,Fishing vessel,Set gillnets
247054170,Trawlers,Purse seines
247110130,Purse seines,Set longlines
247143410,Trawlers,Set longlines
265536090,Trawlers,Purse seines
226150000,Fishing vessel,Trawlers
246749000,Fishing vessel,Trawlers
227580250,Set longlines,Drifting longlines
238744540,Purse seines,Trawlers
247144270,Purse seines,Set longlines
261005260,Trawlers,Drifting longlines
261010060,Set gillnets,Trawlers
247306990,Purse seines,Set longlines
246557000,Fishing vessel,Trawlers
227164210,Set longlines,Pots and traps
240428000,Trawlers,Set longlines
250001142,Set gillnets,Trawlers
239097000,Purse seines,Set gillnets
247147730,Trawlers,Purse seines
247140770,Set longlines,Fishing vessel
247100020,Trawlers,Set gillnets
247072850,Trawlers,Purse seines
247051450,Trawlers,Set gillnets
219006614,Set gillnets,Pots and traps
227916000,Set gillnets,Pots and traps
247300180,Set longlines,Set gillnets
219005909,Set gillnets,Fishing vessel
219009135,Set gillnets,Set longlines
227641010,Trawlers,Set gillnets
265669640,Trawlers,Pots and traps
246143000,Pots and traps,Fishing vessel
239174000,Purse seines,Set gillnets
263407240,Pots and traps,Drifting longlines
224020340,Set longlines,Set gillnets
239266000,Purse seines,Drifting longlines
247049430,Purse seines,Set gillnets
263274000,Set longlines,Drifting longlines
275461000,Pots and traps,Unknown gear
263418250,Set gillnets,Purse seines
238613210,Purse seines,Trawlers
219004264,Trawlers,Set gillnets
265656780,Fishing vessel,Pots and traps
247100450,Trawlers,Set gillnets
247145050,Purse seines,Set longlines
247130830,Purse seines,Set longlines
247140370,Trawlers,Purse seines
247120160,Set longlines,Set gillnets
263249000,Drifting longlines,Set longlines
247143120,Trawlers,Set longlines
238989740,Purse seines,Trawlers
247100430,Trawlers,Set longlines
247110830,Trawlers,Set longlines
247140330,Trawlers,Set gillnets
239253000,Purse seines,Set longlines
227317390,Set gillnets,Set longlines
247102240,Trawlers,Purse seines
247142080,Trawlers,Purse seines
263411270,Set longlines,Purse seines
247144750,Trawlers,Set longlines
265676610,Pots and traps,Fishing vessel
247083060,Trawlers,Set longlines
247123080,Trawlers,Set longlines
227637370,Set longlines,Pole and line
247132020,Trawlers,Purse seines
247131930,Set gillnets,Trollers
227303430,Set gillnets,Trawlers
239588000,Purse seines,Set gillnets
245308000,Fishing vessel,Trawlers
240303000,Set gillnets,Set longlines
247071420,Trawlers,Purse seines
239149000,Purse seines,Set gillnets
247101550,Trawlers,Set longlines
247149980,Trawlers,Set longlines
227560250,Pots and traps,Set gillnets
247050950,Trawlers,Set longlines
247141170,Set longlines,Fishing vessel
247141020,Trawlers,Set longlines
219005616,Set gillnets,Set longlines
247100740,Trawlers,Purse seines
245316000,Fishing vessel,Trawlers
263412460,Set gillnets,Set longlines
238561110,Purse seines,Trawlers
247030890,Trawlers,Purse seines
247121530,Trawlers,Set longlines
265745020,Pots and traps,Trawlers
263412470,Trawlers,Drifting longlines
263408380,Drifting longlines,Pots and traps
211421000,Trawlers,Set gillnets
247070840,Trawlers,Set longlines
238369040,Purse seines,Set gillnets
240229000,Trawlers,Set gillnets
215000650,Drifting longlines,Purse seines
250002886,Fishing vessel,Set gillnets
204204780,Set longlines,Pole and line
220335000,Set gillnets,Trawlers
245928000,Fishing vessel,Trawlers
239423000,Set longlines,Set gillnets
224075470,Set longlines,Set gillnets
227120500,Trawlers,Set gillnets
250000957,Fishing vessel,Trawlers
250002435,Trawlers,Purse seines
227867000,Pots and traps,Set gillnets
237517000,Trawlers,Purse seines
238111111,Purse seines,Trawlers
240705000,Trawlers,Purse seines
247146290,Set longlines,Set gillnets
219006157,Trawlers,Set gillnets
247110430,Trawlers,Purse seines
263402280,Set gillnets,Pots and traps
235094789,Set gillnets,Trawlers
265645290,Pots and traps,Set gillnets
204824000,Pole and line,Set longlines
227692790,Set gillnets,Pots and traps
250106580,Trawlers,Fishing vessel
207827350,Trawlers,Set gillnets
211315620,Trawlers,Set gillnets
248000420,Set longlines,Pots and traps
247081520,Trawlers,Purse seines
225384000,Set longlines,Set gillnets
219004144,Set gillnets,Set longlines
247142020,Trawlers,Set longlines
227177420,Trawlers,Set gillnets
255402260,Pole and line,Set longlines
239146000,Purse seines,Set longlines
219009244,Trawlers,Set gillnets
237922000,Trawlers,Purse seines
247147280,Trawlers,Set longlines
247306530,Trawlers,Purse seines
204212000,Drifting longlines,Set longlines
263582000,Set longlines,Drifting longlines
263410890,Set longlines,Set gillnets
227652390,Set gillnets,Pots and traps
235080782,Set gillnets,Pole and line
247082320,Trawlers,Set longlines
247100630,Set longlines,Set gillnets
227322690,Trawlers,Pots and traps
207829280,Set gillnets,Trawlers
227575000,Set gillnets,Set longlines
250002223,Set gillnets,Fishing vessel
247148370,Trawlers,Purse seines
224175430,Set longlines,Set gillnets
237402000,Trawlers,Purse seines
247300570,Trawlers,Purse seines
247142250,Trawlers,Set longlines
211477000,Trawlers,Set gillnets
211315230,Trawlers,Set gillnets
247302320,Purse seines,Set longlines
250001702,Set gillnets,Trawlers
224385000,Set longlines,Set gillnets
247301090,Trawlers,Purse seines
247142320,Set longlines,Set gillnets
219009799,Set gillnets,Trawlers
247065580,Purse seines,Pole and line
227625350,Trawlers,Set longlines
247101330,Trawlers,Set longlines
247144350,Trawlers,Purse seines
227641030,Trawlers,Pots and traps
238448840,Purse seines,Set gillnets
240337000,Trawlers,Set gillnets
219005671,Set gillnets,Set longlines
247053160,Trawlers,Purse seines
238217440,Purse seines,Trawlers
219007932,Set gillnets,Trawlers
247099420,Trawlers,Purse seines
256000656,Drifting longlines,Set longlines
247127020,Set longlines,Set gillnets
247124510,Trawlers,Set longlines
247143890,Trawlers,Set gillnets
227316590,Set gillnets,Set longlines
239136000,Drifting longlines,Set gillnets
263576000,Set longlines,Drifting longlines
247146830,Trawlers,Purse seines
247143070,Trawlers,Set longlines
227346000,Pots and traps,Set gillnets
247152210,Purse seines,Set gillnets
250001559,Set gillnets,Pots and traps
227315190,Purse seines,Set longlines
227316100,Trawlers,Pots and traps
219007539,Set longlines,Trawlers
261001030,Set gillnets,Drifting longlines
237097000,Purse seines,Set gillnets
219010989,Trawlers,Set longlines
247076460,Trawlers,Set longlines
237014000,Trawlers,Set gillnets
247147350,Purse seines,Set longlines
261005330,Trawlers,Drifting longlines
204248000,Purse seines,Set gillnets
247141720,Purse seines,Set longlines
238277740,Trawlers,Pots and traps
250115460,Trawlers,Purse seines
247146020,Purse seines,Set longlines
227926000,Set gillnets,Set longlines
226084000,Pots and traps,Set gillnets
240020000,Purse seines,Trawlers
247140450,Trawlers,Set longlines
247152080,Trawlers,Set longlines
207827320,Trawlers,Set gillnets
238572410,Purse seines,Set gillnets
250001718,Set gillnets,Pots and traps
224130870,Set longlines,Set gillnets
239406000,Drifting longlines,Set gillnets
239013000,Trawlers,Purse seines
219015559,Set gillnets,Trawlers
238400840,Purse seines,Trawlers
238403040,Purse seines,Set longlines
247146060,Trawlers,Purse seines
247307130,Trawlers,Set longlines
265504320,Trawlers,Unknown gear
220398000,Set gillnets,Set longlines
237129000,Set gillnets,Drifting longlines
247050940,Trawlers,Set gillnets
207822750,Set gillnets,Trawlers
247300910,Purse seines,Set longlines
240255000,Drifting longlines,Set longlines
204206750,Pole and line,Drifting longlines
219020578,Trawlers,Set gillnets
256000058,Drifting longlines,Set longlines
240457000,Purse seines,Set gillnets
247110440,Purse seines,Set gillnets
238443140,Trawlers,Set longlines
263406260,Set gillnets,Set longlines
247083560,Trawlers,Purse seines
247111260,Purse seines,Set longlines
247051190,Trawlers,Purse seines
247083380,Trawlers,Purse seines
224038000,Set longlines,Set gillnets
207293000,Trawlers,Set gillnets
219013966,Trawlers,Set gillnets
250104900,Trawlers,Unknown gear
265632550,Trawlers,Pole and line
247054650,Trawlers,Purse seines
277194000,Set gillnets,Trawlers
247125730,Trawlers,Purse seines
227588000,Set longlines,Set gillnets
238117940,Purse seines,Set gillnets
237335000,Trawlers,Purse seines
240120000,Trawlers,Purse seines
247091620,Set longlines,Set gillnets
240274000,Purse seines,Set gillnets
247281290,Trawlers,Set longlines
247092370,Trawlers,Set gillnets
227380000,Set gillnets,Set longlines
237625000,Trawlers,Purse seines
247151310,Trawlers,Set longlines
247140990,Trawlers,Purse seines
227300000,Set longlines,Drifting longlines
220071000,Set gillnets,Fishing vessel
247155180,Trawlers,Set longlines
247150170,Trawlers,Set longlines
247121260,Trawlers,Purse seines
250002366,Pots and traps,Trawlers
247151671,Trawlers,Set longlines
247202490,Trawlers,Purse seines
247063630,Trawlers,Set gillnets
247309110,Trawlers,Set longlines
247122080,Trawlers,Purse seines
265643510,Pole and line,Set gillnets
265613340,Fishing vessel,Pots and traps
238795940,Trawlers,Set gillnets
238162240,Trawlers,Set gillnets
265660180,Trawlers,Fishing vessel
219007314,Trawlers,Set gillnets
227142200,Purse seines,Trollers
238752040,Purse seines,Set gillnets
219006915,Trawlers,Set gillnets
247133170,Trawlers,Purse seines
237248000,Trawlers,Purse seines
247053910,Trawlers,Purse seines
247101370,Trawlers,Purse seines
227917000,Set gillnets,Set longlines
239329000,Drifting longlines,Pots and traps
247146030,Set longlines,Set gillnets
247309550,Trawlers,Purse seines
265649990,Set gillnets,Pole and line
250001415,Set gillnets,Trawlers
219007511,Set gillnets,Set longlines
247145170,Trawlers,Set longlines
211551270,Set gillnets,Set longlines
237478000,Trawlers,Purse seines
247302520,Trawlers,Set gillnets
237914000,Trawlers,Purse seines
238958248,Purse seines,Trawlers
227568010,Trawlers,Pots and traps
239506000,Set gillnets,Drifting longlines
238778540,Purse seines,Trawlers
247082830,Trawlers,Set longlines
265660130,Fishing vessel,Set gillnets
247305860,Trawlers,Set longlines
224186000,Set longlines,Set gillnets
263402760,Set gillnets,Pots and traps
204228000,Drifting longlines,Set gillnets
219009907,Trawlers,Set gillnets
247082840,Trawlers,Set gillnets
